RAdeg,DEdeg,Vmag
64.33238601,46.21767795,7.09
275.82115832,-43.22889991,9.68
181.01885401,-41.70926948,8.12
18.86515481,51.74113208,7.56
295.63820169,-59.00946588,7.48
146.26342132,68.70404478,9.45
318.75916299,-30.98309862,7.4
146.4181842,-70.11826269,7.14
70.07383679,-58.94433445,6.53
68.25635898,-38.28341151,7.63
25.39122144,-45.41948097,9.31
293.02388438,-25.46808066,11.17
15.02354891,2.63298133,7.62
294.88556138,19.16961097,7.68
180.712826,-68.5848739,7.72
136.17334889,-17.23678981,7.16
235.56807573,29.62332597,8.57
319.52131,-29.51305066,8.47
119.41559451,77.57647786,6.87
127.60707254,-59.21407632,8.77
45.92640836,-64.82270749,8.81
288.36036715,-38.29236779,9.64
13.21252447,-1.90079276,8.65
348.4237915,-39.71071253,9.34
346.74289131,66.09577127,10.61
290.15358437,49.4598735,7.88
307.26554188,-51.08489605,7.68
174.32440612,6.27001298,7.12
63.36826385,-49.12189927,8.44
285.05696213,50.53345884,5.39
16.89323852,-29.28675143,9.32
34.34582606,61.35179594,8.22
144.08153591,-61.13262081,8.1
323.40750207,-57.08195967,8.15
320.669064,-56.16876828,8.65
241.37974677,-49.79856085,8.75
242.50947377,6.53055098,8.6
1.58655035,68.63612309,8.06
28.21703176,-16.92912351,5.78
347.43391042,59.33268922,5.68
44.21812835,59.08893371,9.06
109.83384957,-22.04971467,7.02
22.44463773,65.17106561,6.71
200.4478172,5.82596203,9.16
341.19097318,-30.25041884,9.67
159.12307503,44.5065247,8.57
201.29199975,-78.95209059,7.89
355.53894549,-32.64210236,9.14
3.16896301,-43.16447354,7.53
341.84034788,14.12318822,6.95
159.00648751,2.74742048,7.78
236.44354156,-25.49557278,7.72
70.39459136,-68.60764208,8.07
40.49372189,64.39526455,9.55
202.25861916,29.20949098,10.72
340.84307832,-15.8968144,8.73
145.95391843,7.49863586,8.76
57.54310338,-16.77526548,8.12
325.68905006,59.27084085,6.1
270.97547558,26.65139062,6.93
279.38472634,14.87397186,8.07
38.09769411,70.12729661,8.07
255.9010849,-19.46214487,9.48
222.25246381,53.50827553,9.34
192.582667,-58.05400948,7.8
44.61818753,-39.31505204,9.48
220.82926931,54.74823111,8.53
268.86477579,-62.99213083,10.17
20.53983077,-59.12635522,7.52
325.58654746,11.81849533,9.75
66.77522682,-25.00977153,9.3
282.96560698,-24.65441817,8.02
189.63454302,0.21734002,8.45
315.38461304,66.70932246,8.24
268.97181036,-87.24026537,7.96
258.62161341,43.51183259,9.52
137.72206941,18.88866854,8.09
1.45705278,-52.82010001,9.37
249.77945821,-28.90395512,8.55
148.92919035,49.81979501,5.27
321.26768514,13.19983627,8.61
239.09497046,20.41871357,8.45
264.90662995,-32.3201233,7.16
265.9345455,-46.60627144,8.13
227.42116377,-35.8658613,7.0
152.39864887,-35.66102425,9.13
131.25845536,-41.51619835,8.73
202.98363313,47.23442602,7.06
326.04641808,9.87500791,2.38
217.79335845,76.56530089,8.16
26.32143153,-31.89154828,8.97
63.74512886,-0.9973904,7.99
290.87311627,54.73131486,9.07
282.45398321,-23.83576457,10.37
302.20639935,-15.41213554,8.3
123.9935503,18.69393199,7.54
35.33904474,68.08127681,9.55
302.42851277,-45.36703323,7.93
32.09128403,-18.64058388,10.16
275.72977361,19.14926415,7.99
316.81409259,-48.97027893,8.35
242.26215069,57.93780185,6.33
157.37014182,-52.76617053,8.34
335.05299673,29.51876591,8.12
344.53878256,-17.69328088,8.14
165.88013123,-39.0229481,9.24
257.77572499,-15.21801542,9.14
